PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,7day,28day,56day
394,0,264,1160,1870,265,7,19.7,0,0,28.3374636,41.08127833,
395,0,130,1300,1870,259,6,16,0,0,31.15569675,36.79680375,
395,0,169,1384,1785,250,2.3,0,31,0,32.405372,46.68518604,
395,0,170,1310,1800,254,4.5,12.9,0,0,25.4244275,36.5767018,
395,0,170,1315,1800,254,5.6,11.3,0,0,28.43513937,35.64820746,
395,0,170,1330,1800,254,5.6,11.3,0,0,27.406671,37.576442,
395,0,170,1330,1800,255,5.6,13,0,0,25.51923045,39.0760523,
395,0,170,1340,1800,254,1,3,0,0,29.79455621,40.85260213,
395,0,170,1340,1800,254,5,17,0,0,27.234302,39.13465776,41.0582958
395,0,170,1340,1800,254,5.7,17.1,0,0,26.45634325,35.50715216,
395,0,263,1200,1850,240,6.5,23.1,0,384,31.20568376,43.69760993,
395,0,263,1220,1800,246,4.6,26.3,0,0,26.01622773,39.6276331,42.5061954
395,0,263,1225,1800,264,1.6,26.3,0,47,39.0071047,57.58273727,
395,0,263,1225,1800,264,5.3,39.5,0,0,29.9577322,41.540929,42.747512
396,0,215,1190,1780,275,4.3,18.3,0,0,27.4411448,36.86398347,
396,0,264,1026,1880,275,3,0,19.8,0,29.0958872,39.13925427,
396,0,264,1160,1860,224,11.9,0,100,0,32.56896585,46.49092186,
396,0,264,1206,1750,267,3,0,12,0,30.41777672,47.24555519,
396,0,264,1230,1700,264,0,26.4,44.2,0,38.9898678,50.86034627,
396,0,264,1250,1750,275,2.8,0,0,0,28.25630019,43.1564243,
396,0,264,1275,1750,262,3,23.6,0,0,28.85227235,43.77187634,
396,0,264,1300,1700,225,2.3,39.6,0,0,24.86203712,41.05558438,
396,0,264,1302,1500,292,6.3,0,6.6,0,27.15332866,42.61925464,
396,0,264,1311,1800,246,2.7,0,24.7,0,36.46753477,48.5039982,
396,0,264,1327,1500,259,2,0,26.4,0,35.54548552,52.39418056,
396,0,264,1337,1500,292,5,0,6.6,0,27.6479876,39.3510219,
396,0,264,1400,1700,260,0,0,46.2,0,38.30680306,59.27902502,60.21188155
400,0,140,1215,1975,208,1.8,0,0,0,22.1494165,35.28967993,
400,0,160,1110,1920,254,6.5,0,6,0,27.7858828,35.2322236,
400,0,164,1121,1940,233,6,0,0,0,27.406671,40.80165751,
400,0,260,885,2150,225,7,20,26,384,44.96245365,58.26761676,
400,0,260,1069,1850,242,8.5,0,0,0,28.90874372,43.76514575,
400,0,400,1187,1760,248,5,0,55,0,51.04200273,75.07988066,75.10827085
400,100,0,1427,1750,250,6.3,0,10,0,16.17970347,23.83288707,
400,100,0,1445,1700,264,3.3,35,28,0,21.54490347,29.87983849,34.32816285
400,150,200,928,1977,254,6,0,30,0,44.27865944,58.68518066,67.83362309
400,175,0,1280,1925,219,1.1,28.7,0,0,38.17060808,47.05455511,54.11045952
400,200,0,1233,1820,242,1,0,39,0,35.1115653,46.29615879,
400,200,0,1496,775,259,1,0,36,0,18.88368691,27.91210433,32.2079926
