PC,PC_TYPE,FA,SS,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,FIBER,LATEX,SLUMP,VOID,Category,TOTAL_BINDER,w/b,b/a,SCM%,CAGG%,FAGG%,GWP,7day,28day,56day
233,11,233,310,0,1225,1600,258,3.9,21.3,32.9,0,0,0,9,4.5,5,776,0.332474227,0.274690265,0.699742268,0.566371681,0.433628319,409.888925,50.20847805,68.58179468,73.79308411
233,11,233,310,0,1370,1601,250,0,23.3,50.4,0,0,0,9,6.5,5,776,0.322164948,0.261191518,0.699742268,0.538875799,0.461124201,410.408925,55.81997696,70.16107776,75.71595607
240,2,0,560,0,1400,1650,264,0,0,100,0,0,0,4,3,6,800,0.33,0.262295082,0.7,0.540983607,0.459016393,407.52195,52.50129915,68.90666236,70.72185157
246,6,0,164,0,1520,1750,250,3.3,8.2,0,0,0,0,3,6,6,410,0.609756098,0.125382263,0.4,0.535168196,0.464831804,309.88621,13.5482034,24.76367967,
248,1,62,0,0,1579,1710,250,3.9,3.1,3.1,0,0,0,3,6,6,310,0.806451613,0.094253573,0.2,0.519914868,0.480085132,289.156417,,8.8252928,10.80562109
250,1,0,250,0,925,2400,200,0,0,0,0,0,0,0,0,1,500,0.4,0.15037594,0.5,0.721804511,0.278195489,335.901025,32.56624973,52.81769202,63.65012607
250,2,0,250,0,1078,2060,260,3.8,17.5,0,0,0,0,4,5.5,6,500,0.52,0.159337157,0.5,0.656469089,0.343530911,335.796594,,39.50326224,45.50136026
250,2,300,0,0,1800,0,411,22,0,0,0,0,0,8,10,6,550,0.747272727,0.305555556,0.545454545,0,1,366.8314,33.7153764,47.3670012,50.49262573
264,11,0,396,0,1527,825,246,3.5,0,38,0,0,0,9.25,6.5,4,660,0.372727273,0.280612245,0.6,0.350765306,0.649234694,388.251846,26.0449559,39.4380272,49.48139427
274,2,140,443,0,1197,1738,279,0,0,40,0,0,0,9,2,5,857,0.325554259,0.291993186,0.680280047,0.592163543,0.407836457,457.629151,55.69350338,60.93296383,80.79991071
274,2,140,443,0,1210,1738,279,0,40,81,0,0,0,9.5,2,6,857,0.325554259,0.290705563,0.680280047,0.589552239,0.410447761,457.6756,54.18596774,66.42978139,72.98693143
274,11,140,443,0,1126,1606,275,13,0,40,0,0,0,9,6,5,857,0.320886814,0.313689605,0.680280047,0.587847731,0.412152269,457.122688,37.29080194,45.2296256,52.10140307
274,11,140,443,0,1300,1606,292,0,0,75,0,0,0,25,2,5,857,0.340723454,0.294907089,0.680280047,0.55264969,0.44735031,457.74439,63.31458108,66.28162613,84.35164297
275,1,0,413,0,1065,1870,255,5.1,0,27.5,0,0,0,5,6,4,688,0.370639535,0.234412266,0.600290698,0.63713799,0.36286201,404.618295,20.79663905,38.06099041,
275,1,0,413,0,1159,1870,254,6.8,0,42,384,0,0,6,6,4,688,0.369186047,0.227137669,0.600290698,0.617365467,0.382634533,404.954157,,44.28027018,
275,1,0,413,0,1159,1870,255,7.5,0,42,384,0,0,5,6,4,688,0.370639535,0.227137669,0.600290698,0.617365467,0.382634533,404.954157,,42.62972652,
275,1,0,413,0,1159,1870,255,7.5,0,55,0,0,0,5,6,4,688,0.370639535,0.227137669,0.600290698,0.617365467,0.382634533,404.954157,,52.1071487,
275,2,0,413,0,1159,1870,255,7,55,0,0,0,0,5,6,4,688,0.370639535,0.227137669,0.600290698,0.617365467,0.382634533,404.954157,35.42966445,53.67639884,53.8480756
275,6,0,413,0,1070,1870,255,2.8,27.5,0,0,0,0,6,6,4,688,0.370639535,0.234013605,0.600290698,0.636054422,0.363945578,404.63616,33.41906588,47.10756376,
275,6,0,413,0,1085,1870,255,5.5,0,34.4,0,0,0,0,6,4,688,0.370639535,0.232825719,0.600290698,0.632825719,0.367174281,404.689755,35.5941985,52.80237033,
275,6,0,413,0,1085,1870,255,5.5,34.4,0,0,0,0,8,6,6,688,0.370639535,0.232825719,0.600290698,0.632825719,0.367174281,404.689755,30.509313,44.4022544,
275,6,0,413,0,1140,1870,255,5.5,34.4,0,0,0,0,8,6,6,688,0.370639535,0.228571429,0.600290698,0.621262458,0.378737542,404.88627,40.56876784,56.59448833,
275,11,0,275,0,1024,2300,215,4.4,80,0,0,0,0,6,5,4,550,0.390909091,0.165463297,0.5,0.691937425,0.308062575,368.863252,45.9535754,53.13561707,
275,11,0,413,0,1065,1870,255,5.1,0,27.5,0,0,0,5,6,4,688,0.370639535,0.234412266,0.600290698,0.63713799,0.36286201,404.618295,45.59196724,60.1912548,70.72106012
275,11,0,413,0,1065,1870,255,5.1,0,27.5,0,0,0,6,6,4,688,0.370639535,0.234412266,0.600290698,0.63713799,0.36286201,404.618295,37.79477607,48.49802519,55.76656993
275,11,0,413,0,1085,1870,255,5.5,0,34.4,0,0,0,8,6,6,688,0.370639535,0.232825719,0.600290698,0.632825719,0.367174281,404.689755,32.4743196,50.32408716,
280,6,105,315,0,1335,1500,238,25,0,89,0,0,0,0,6,4,700,0.34,0.24691358,0.6,0.529100529,0.470899471,418.682455,50.7109598,64.99460427,
280,6,105,315,0,1335,1500,238,25,0,89,0,0,0,21,6,4,700,0.34,0.24691358,0.6,0.529100529,0.470899471,418.682455,43.70318569,58.97777704,
286,1,173,115,0,1475,1740,230,2,20,40,0,0,0,6,5,6,574,0.400696864,0.178538103,0.50174216,0.541213064,0.458786936,395.434275,19.650066,,
286,1,173,115,0,1535,1600,230,2,20,30,0,0,0,6,5,6,574,0.400696864,0.183094099,0.50174216,0.510366826,0.489633174,395.380555,20.4429634,,
288,11,89,466,45,1178,1686,240,0,0,95,0,0,0,25,2,5,843,0.284697509,0.294343575,0.658362989,0.588687151,0.411312849,461.477684,77.81272919,90.5772282,96.61244146
288,11,160,495,35,1212,1606,252,0,0,105,0,0,0,25,2,5,943,0.267232238,0.334634493,0.694591729,0.569907736,0.430092264,492.389966,66.38619402,77.95194763,85.22546483
288,11,160,541,0,1136,1506,330,0,0,41,0,0,0,26,2,5,989,0.333670374,0.374337623,0.708796764,0.57002271,0.42997729,504.070918,46.9877894,70.40584174,73.90033593
290,2,0,435,25,1450,1500,280,0,0,150,0,0,0,4,3,6,725,0.386206897,0.245762712,0.6,0.508474576,0.491525424,426.81335,49.2630602,61.6046806,73.1534036
290,6,105,490,0,1325,1650,238,0,0,82,0,0,0,8,0,6,885,0.268926554,0.297478992,0.672316384,0.554621849,0.445378151,475.613975,64.13315552,78.6519747,84.94874686
291,2,86,470,50,1171,1616,257,0,0,126,0,0,0,27,2,6,847,0.303423849,0.303911015,0.656434475,0.579834948,0.420165052,464.534623,80.32002163,95.83616765,101.4883629
291,2,86,470,50,1225,1752,233,0,0,126,0,0,0,25,2,5,847,0.275088548,0.284514612,0.656434475,0.588511925,0.411488075,464.988005,77.22765201,97.68561632,98.76957944
