PC,FA,SC,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,TOTAL_BINDER,w/b,b/a,SCM%,CAGG%,FAGG%,7day,28day,56day
300,120,180,0,1200,1830,233,8,0,40,0,600,0.388333333,0.198019802,0.5,0.603960396,0.396039604,35.2592031,47.87070172,53.10845589
300,120,180,0,1200,1830,234,4,0,35,0,600,0.39,0.198019802,0.5,0.603960396,0.396039604,35.41086056,53.85765166,
300,120,180,0,1200,1830,234,4,0,40,0,600,0.39,0.198019802,0.5,0.603960396,0.396039604,38.9209202,60.16827227,66.0862746
300,120,180,0,1210,1873,229,5,0,30,0,600,0.381666667,0.194615634,0.5,0.607525138,0.392474862,38.77935552,57.6746674,64.61387156
300,120,180,0,1210,1900,228,2.3,0,35,0,600,0.38,0.192926045,0.5,0.610932476,0.389067524,38.27970752,53.69435636,59.39660449
300,120,180,0,1210,1900,228,5,0,30,0,600,0.38,0.192926045,0.5,0.610932476,0.389067524,38.39519475,53.31732272,59.09455704
300,120,180,0,1210,1900,232,4,45,45,0,600,0.386666667,0.192926045,0.5,0.610932476,0.389067524,38.14772211,52.86672143,59.86030632
300,120,180,0,1210,1900,232,4,45,45,0,600,0.386666667,0.192926045,0.5,0.610932476,0.389067524,35.7665675,51.0384609,54.89090805
300,120,180,0,1210,1950,228,2.3,0,35,0,600,0.38,0.189873418,0.5,0.617088608,0.382911392,32.27808412,44.93792422,48.88650023
300,120,180,0,1210,1973,228,2.3,0,35,0,600,0.38,0.188501414,0.5,0.619855482,0.380144518,39.3346058,57.52815375,60.72272588
300,120,180,0,1238,1740,242,2.5,0,42,0,600,0.403333333,0.201477502,0.5,0.584284755,0.415715245,,54.34495417,
300,120,180,0,1255,1860,235,0,0,36,0,600,0.391666667,0.192616372,0.5,0.597110754,0.402889246,23.7524482,38.4727608,43.25312773
300,120,180,0,1255,1860,235,1.8,0,36,0,600,0.391666667,0.192616372,0.5,0.597110754,0.402889246,39.11627173,58.40627804,
300,120,180,0,1255,1860,235,1.8,0,36,0,600,0.391666667,0.192616372,0.5,0.597110754,0.402889246,30.58975187,45.57691721,48.03185306
300,150,150,0,1231,1720,242,1.2,0,36,0,600,0.403333333,0.203320908,0.5,0.58285327,0.41714673,41.8684301,60.23721987,
300,150,150,0,1231,1720,242,1.2,0,36,0,600,0.403333333,0.203320908,0.5,0.58285327,0.41714673,34.78141237,53.27351227,61.1565212
300,150,150,0,1231,1720,242,1.2,0,36,0,600,0.403333333,0.203320908,0.5,0.58285327,0.41714673,38.55590349,53.86941652,57.1920342
300,150,150,0,1406,1750,259,0,0,42.5,0,600,0.431666667,0.190114068,0.5,0.554499366,0.445500634,41.37485522,59.41171477,
300,0,450,0,1038,1750,279,7,0,30,0,750,0.372,0.269010043,0.6,0.6276901,0.3723099,34.91046813,,56.56001453
300,0,450,0,1112,1700,250,2.8,0,50,0,750,0.333333333,0.266714083,0.6,0.60455192,0.39544808,56.23497585,80.02518107,
300,0,450,0,1112,1700,280,2.5,0,50,0,750,0.373333333,0.266714083,0.6,0.60455192,0.39544808,58.5537493,78.58111189,
300,0,450,0,1121,1700,283,5,0,75,0,750,0.377333333,0.265863169,0.6,0.602623183,0.397376817,53.53493858,65.65152168,
300,0,450,0,1121,1700,283,5,0,75,0,750,0.377333333,0.265863169,0.6,0.602623183,0.397376817,53.78069499,73.12937641,
300,0,450,0,1240,1700,284,8,25,75,0,750,0.378666667,0.255102041,0.6,0.578231293,0.421768707,53.26648983,73.4467443,
300,100,450,0,1260,1380,340,0,0,40,0,850,0.4,0.321969697,0.647058824,0.522727273,0.477272727,51.27821051,,88.7010874
300,100,450,0,1260,1400,340,0,0,40,0,850,0.4,0.319548872,0.647058824,0.526315789,0.473684211,43.48100839,73.06247271,81.90086918
300,120,180,0,1180,1830,239,7,0,38,0,600,0.398333333,0.199335548,0.5,0.607973422,0.392026578,45.9535754,61.1565212,
300,120,180,0,1180,1940,238,9,0,37,0,600,0.396666667,0.192307692,0.5,0.621794872,0.378205128,31.0953676,42.17294867,
300,120,180,0,1200,1830,220,12,0,37,0,600,0.366666667,0.198019802,0.5,0.603960396,0.396039604,34.42365629,51.78460786,52.49815417
300,120,180,0,1200,1830,232,4,0,45,0,600,0.386666667,0.198019802,0.5,0.603960396,0.396039604,30.43671492,45.7752223,50.09367438
300,120,180,0,1200,1830,232,4,0,45,0,600,0.386666667,0.198019802,0.5,0.603960396,0.396039604,44.17242907,57.03345472,57.398877
300,120,180,0,1200,1830,232,4,0,45,0,600,0.386666667,0.198019802,0.5,0.603960396,0.396039604,35.93204174,55.32661858,61.2599426
300,120,180,0,1200,1830,232,4,45,45,0,600,0.386666667,0.198019802,0.5,0.603960396,0.396039604,33.2499801,47.50817962,50.5684239
300,120,180,0,1200,1830,233,4,0,36,0,600,0.388333333,0.198019802,0.5,0.603960396,0.396039604,38.20846167,62.06816169,
300,120,180,0,1200,1830,233,8,0,40,0,600,0.388333333,0.198019802,0.5,0.603960396,0.396039604,36.53566156,56.87629797,62.72261669
300,120,180,0,1200,1830,233,8,0,40,0,600,0.388333333,0.198019802,0.5,0.603960396,0.396039604,33.74960828,51.77740904,59.8075872
300,120,180,0,1210,1830,228,6,0,33,0,600,0.38,0.197368421,0.5,0.601973684,0.398026316,34.61935604,52.59388592,58.01448057
300,120,180,0,1210,1873,228,2.3,0,35,0,600,0.38,0.194615634,0.5,0.607525138,0.392474862,39.80175053,58.10445355,63.42591478
300,120,180,0,1210,1873,228,5,0,30,0,600,0.38,0.194615634,0.5,0.607525138,0.392474862,39.7138176,59.90469134,66.09704766
300,120,180,0,1210,1873,228,5,0,40,0,600,0.38,0.194615634,0.5,0.607525138,0.392474862,37.1972302,56.39051835,60.13092565
300,120,180,0,1210,1900,220,7,0,40,0,600,0.366666667,0.192926045,0.5,0.610932476,0.389067524,47.3670012,65.4312724,67.9823336
